Epoch 1/30 | Train Loss: 2.2310 | Train Acc: 0.2529 | Val Loss: 1.3055 | Val Acc: 0.3993
Epoch 2/30 | Train Loss: 1.3736 | Train Acc: 0.4441 | Val Loss: 0.8982 | Val Acc: 0.5944
Epoch 3/30 | Train Loss: 1.1422 | Train Acc: 0.5413 | Val Loss: 1.2519 | Val Acc: 0.5311
Epoch 4/30 | Train Loss: 0.7433 | Train Acc: 0.7132 | Val Loss: 0.4908 | Val Acc: 0.7908
Epoch 5/30 | Train Loss: 0.7574 | Train Acc: 0.7399 | Val Loss: 0.1370 | Val Acc: 0.9631
Epoch 6/30 | Train Loss: 0.5870 | Train Acc: 0.9044 | Val Loss: 0.1484 | Val Acc: 0.9598
Epoch 7/30 | Train Loss: 0.2609 | Train Acc: 0.9477 | Val Loss: 0.1886 | Val Acc: 0.9736
Epoch 8/30 | Train Loss: 0.1195 | Train Acc: 0.9715 | Val Loss: 0.0835 | Val Acc: 0.9836
Epoch 9/30 | Train Loss: 0.0943 | Train Acc: 0.9784 | Val Loss: 0.0920 | Val Acc: 0.9843
Epoch 10/30 | Train Loss: 0.1381 | Train Acc: 0.9701 | Val Loss: 0.0501 | Val Acc: 0.9852
Epoch 11/30 | Train Loss: 0.1642 | Train Acc: 0.9658 | Val Loss: 0.0571 | Val Acc: 0.9842
Epoch 12/30 | Train Loss: 0.0721 | Train Acc: 0.9829 | Val Loss: 0.0599 | Val Acc: 0.9884
Epoch 13/30 | Train Loss: 0.3531 | Train Acc: 0.9614 | Val Loss: 0.0610 | Val Acc: 0.9835
Epoch 14/30 | Train Loss: 0.0797 | Train Acc: 0.9804 | Val Loss: 0.0532 | Val Acc: 0.9847
Epoch 15/30 | Train Loss: 0.0758 | Train Acc: 0.9829 | Val Loss: 0.0385 | Val Acc: 0.9897
Epoch 16/30 | Train Loss: 0.0739 | Train Acc: 0.9861 | Val Loss: 0.0398 | Val Acc: 0.9904
Epoch 17/30 | Train Loss: 0.1648 | Train Acc: 0.9685 | Val Loss: 0.1052 | Val Acc: 0.9734
Epoch 18/30 | Train Loss: 0.2430 | Train Acc: 0.9737 | Val Loss: 0.0524 | Val Acc: 0.9851
Epoch 19/30 | Train Loss: 0.0783 | Train Acc: 0.9807 | Val Loss: 0.0464 | Val Acc: 0.9879
Epoch 20/30 | Train Loss: 0.1481 | Train Acc: 0.9825 | Val Loss: 0.0511 | Val Acc: 0.9864
Epoch 21/30 | Train Loss: 0.0783 | Train Acc: 0.9860 | Val Loss: 0.0329 | Val Acc: 0.9920
Epoch 22/30 | Train Loss: 0.3379 | Train Acc: 0.9724 | Val Loss: 0.0697 | Val Acc: 0.9843
Epoch 23/30 | Train Loss: 0.0701 | Train Acc: 0.9828 | Val Loss: 0.0405 | Val Acc: 0.9894
Epoch 24/30 | Train Loss: 0.0720 | Train Acc: 0.9843 | Val Loss: 0.0413 | Val Acc: 0.9890
Epoch 25/30 | Train Loss: 0.0504 | Train Acc: 0.9881 | Val Loss: 0.0488 | Val Acc: 0.9880
Epoch 26/30 | Train Loss: 0.0451 | Train Acc: 0.9895 | Val Loss: 0.0293 | Val Acc: 0.9919
Epoch 27/30 | Train Loss: 0.1177 | Train Acc: 0.9844 | Val Loss: 0.0602 | Val Acc: 0.9905
Epoch 28/30 | Train Loss: 0.0481 | Train Acc: 0.9887 | Val Loss: 0.0351 | Val Acc: 0.9904
Epoch 29/30 | Train Loss: 0.6492 | Train Acc: 0.9435 | Val Loss: 0.1540 | Val Acc: 0.9544
Epoch 30/30 | Train Loss: 0.1230 | Train Acc: 0.9659 | Val Loss: 0.0515 | Val Acc: 0.9869
